#photon_energies	cross_sections
7.91786514689893	0.329693067705142
8.10764457461279	0.327345500039327
8.29742181210909	0.325193906004866
8.48719321303661	0.323531486680383
8.67701645713593	0.317703882029273
8.86680537980397	0.314688567965064
9.05657021007879	0.313598164707281
9.24636570339952	0.310108425236334
9.43615900650268	0.306826653008719
9.62594792917071	0.303914574263625
9.81577189531979	0.29838607465418
10.0056068125567	0.292151591382283
10.1954577833663	0.284893650923516
10.385294168771		0.27883799813828
10.5751181349201	0.273765665666101
10.7649778666		0.266376335105227
10.9548434468828	0.258805112657256
11.144722168471		0.250618589164476
11.3345811781011	0.243898362339184
11.5244518729029	0.236661116399732
11.7143094263994	0.23039959759635
11.9042341425565	0.220543065071447
12.0940646793582	0.216173293198039
12.2839769762597	0.207573336946562
12.473890007245		0.199278679012131
12.6637738433522	0.192726785382166
12.8536584135434	0.186355862515451
13.0435437057843	0.180162789547955
13.2334268078076	0.174271592321886
13.4233405728769	0.167276760039754
13.613234625988		0.16136145115569
13.8031067769235	0.156515953610725
13.9930117811225	0.150565501661977
14.182899263581		0.145481593604526
14.3727604634287	0.141502524909741
14.5626260437115	0.137480594460784
14.7525266674753	0.132399758456047
14.9423958941094	0.128518526355264
15.1322826424839	0.124201994817746
15.3221460325492	0.120738352903484
15.5120444660955	0.116340386488788
15.7019115145461	0.112991869574702
15.8918406111383	0.108038851003617
16.0816974305508	0.105199826607085
16.2715892814103	0.101535985019047
16.4614570519106	0.0985956454908124
16.6513365075828	0.0954592249851337
16.8412174193885	0.092388702857221
17.0310669460986	0.0901262440046337
17.2209661016947	0.0868275573297149
17.4108229211072	0.0845459192776583
17.6007001865618	0.0819015807348064
17.7906132175471	0.0786287827614361
17.9804992318378	0.076001934446066
18.1703151832346	0.0747700980083372
18.3602048559107	0.0722056297864134
18.5500748166286	0.0700760065883031
18.7399849233125	0.0673253061533419
18.9298738619046	0.0650281961737876
19.119776675886		0.0625904443681573
19.3096685387796	0.0604103958446255
19.4995341190624	0.0586933493775322
19.6894033577306	0.0569726108573495
19.8793470517619	0.0542753831119771
20.0692432950906	0.0523272144836743
20.2591399034556	0.0504443377804143
20.4490503912212	0.0484595918929553
20.6389977316037	0.0461230332013283
20.8288917847149	0.0444920117253567
21.0187814573909	0.0429660226837693
21.2159315958849	0.0407375574073257
21.3946921257193	0.0389541352800369
21.5885994102134	0.0372709915718073
21.7785460285461	0.0354803584672614
21.9253540174207	0.0338898228163598
