#e	xs
7.71974758130454	0.0202637771223731
7.90890830882294	0.0201254371781652
8.09808102910224	0.0201094715698023
8.28724393712263	0.0199941910851711
8.47639267188012	0.0197377820574362
8.6655555799005	0.0196246323372545
8.8547163074189	0.0194906558072995
9.04385959092144	0.0191878061012148
9.23298870116109	0.0187549331757867
9.42210799914181	0.0182412067425332
9.61123492887948	0.0178100651762198
9.80036621962111	0.0174274548191388
9.98949314935878	0.017015546754413
10.1786266206024	0.0166683504233729
10.3677513698381	0.016256472308602
10.5568782995757	0.0158722410988587
10.7459899657995	0.015378089975673
10.9350885490114	0.0148012025818062
11.1241860419723	0.0142381144502186
11.3132780836782	0.0136587927227704
11.5023712156352	0.0131102591898385
11.6914545353332	0.0125215498144138
11.8805454867881	0.0120054596410199
12.0696255357332	0.0114474357525881
12.2587110359332	0.0109454413796318
12.4477976263841	0.0104712245362814
12.6368918485921	0.0100562384816627
12.825983890298	0.0096470693132874
13.0150824735099	0.0092851730905836
13.2041701542119	0.0088877806041605
13.3932730984277	0.0085732293918157
13.5823749523926	0.0082652583792232
13.7714724453535	0.0079508198143754
13.9605753895693	0.0076694289786726
14.1496783337852	0.0073979969653638
14.33878018775	0.0071322431271714
14.5278798612129	0.006868467897932
14.7169795346758	0.0066144479967598
14.9060770276367	0.0063628118784516
15.0951799718526	0.0061376229050252
15.2842741940605	0.0058943822118982
15.4733705967704	0.0056670186513385
15.6624735409862	0.0054664547910734
15.8515721241981	0.0052613884360773
16.04067070741	0.0050640148566659
16.2297758321278	0.0048901743869451
16.4188864081006	0.0047353203412201
16.6079926230695	0.0045752820078484
16.7970999282893	0.004423087187438
16.9862105042621	0.0042830240953328
17.1753134484779	0.0041314417733008
17.3644294757057	0.0040116431657809
17.5535204271606	0.0038462986479131
17.7426244616275	0.0037122160948882
17.9317306765963	0.0035867553374036
18.1208390720671	0.0034693531852089
18.30993874553	0.0033410444027651
18.4990351482399	0.0032121705489679
18.6881424534597	0.0031053190545706
18.8772410366716	0.00298882738237
19.0663407101345	0.0028782901202655
19.2554382030954	0.0027687901659861
19.4445356960563	0.0026634559627208
19.6336353695192	0.002564952070662
19.8227295917271	0.0024633002212148
20.011820543182	0.002361772450521
20.2009158556409	0.0022694220614941
20.3899991753389	0.0021675148432575
20.5790879462919	0.0020758909232684
20.7681778074959	0.0019892350741517
20.957250224684	0.0018894770971171
21.14633136388	0.0018026448955505
21.3353983298131	0.0017075367726174
21.5244663859973	0.0016183374178369
21.7135235396715	0.0015253756250492
21.9025796030947	0.0014369623869571
