#e [eV]	xs [Mb]
7.62479871271023	1.29835336360922
7.81396707198557	1.29446922290979
8.00313434100992	1.28988627766267
8.19228089526543	1.27194307940356
8.38143617152887	1.25978652250289
8.57058708678835	1.2450010723202
8.75973691179683	1.22971186882949
8.9488638415345	1.20064691119129
9.13798422976622	1.16840250877312
9.32711443025686	1.14267258825815
9.51623808924155	1.11382347582725
9.70535302621831	1.08093081582471
9.89447014369705	1.05016535278091
10.0835927124307	1.02308829389307
10.2727207324194	0.999457168111606
10.4618367596472	0.970476104457429
10.6509495161219	0.940780096293892
10.8400535505888	0.907984359744813
11.0291455922947	0.871040207510159
11.2182267314907	0.831010963976866
11.4073089609378	0.793257949753152
11.5963955513887	0.758889643547199
11.7854843223417	0.726810304299651
11.9745687322907	0.694555591699244
12.1636596837457	0.665928678811898
12.3527375521887	0.634276884730761
12.5418274133927	0.607799673714827
12.7309238161026	0.584355062735256
12.9200191285615	0.561505521340376
13.1091089897654	0.538066073154507
13.2982053924753	0.517311291090686
13.4873028854362	0.497631008577191
13.6764003783971	0.478699431004959
13.865495690856	0.459981252346158
14.0545920935659	0.442238430186943
14.2436928572798	0.426117471870892
14.4327914404917	0.410132274865439
14.6218900237036	0.394746740019299
14.8109995094254	0.382036133617184
15.0000959121353	0.367299882644801
15.1891901343432	0.352743387496354
15.3782952590611	0.340634205768236
15.5674025642809	0.329303153019224
15.7565000572418	0.316775340084116
15.9455986404537	0.304891959204469
16.1347113969284	0.295562441385383
16.3238110703913	0.284631511334222
16.5129194658621	0.275314914892699
16.7020289515839	0.266449941062486
16.8911384373057	0.257870414030682
17.0802577352865	0.250806947219049
17.2693606795023	0.241930532191957
17.4584483602043	0.231576242100486
17.6475556654241	0.223872956375728
17.8366640608949	0.216545117026718
18.0257691856128	0.209111429345073
18.2148699493266	0.201488671109303
18.4039805252994	0.195108257361212
18.5930791085113	0.187789045788834
18.7821798722252	0.180943554368984
18.971282816441	0.174539704304761
19.1603857606569	0.1683624956138
19.3494790743223	0.161615932590095
19.5385827453722	0.155953350754011
19.7276809651671	0.150075433329497
19.9167768227515	0.144246867357139
20.1058666839554	0.138225435964406
20.2949587256614	0.132601306546136
20.4840431356104	0.126716666485611
20.6731329968143	0.121427014602428
20.8622097750064	0.115591887430944
21.0512920044534	0.110340522094629
21.2403764144024	0.105443781078043
21.4294401095825	0.0997156828594848
21.6185092560177	0.0945587247426288
21.8075729511978	0.0894219432538606
21.953665493801	0.0855524166664047
