#photon energy [eV]	cross section [Mb]
7.90045439745842	0.343300728492194
8.09016885272924	0.346477421240914
8.2799548510958	0.343441764378637
8.46972989837453	0.34137254802952
8.65949910908448	0.339814739447141
8.84928803175251	0.33658957217334
9.03905578632881	0.335176436742811
9.22890894735597	0.326669456780632
9.41876429860071	0.318202888179764
9.60858169409709	0.312931680654859
9.7983968993759	0.307917528146667
9.98823619704793	0.301151609943813
10.17807549472	0.294534360280237
10.367899460869	0.289176495822034
10.5577453291938	0.282354931182385
10.7475911975185	0.275694284683751
10.9374370658432	0.269190760327784
11.1272924291221	0.262213121317057
11.3171499826186	0.255275554155212
11.50706227952	0.245120004571226
11.6969052355774	0.239513253453533
11.8867868814671	0.231766283023215
12.0766904174983	0.223037372045423
12.2665581879986	0.216578522986386
12.4564317950678	0.209997925423533
12.6463681963966	0.200423718475739
12.8362644397253	0.193229679883756
13.0261329443096	0.187599347205308
13.2160386705583	0.180434359623059
13.4058670171426	0.17695683377777
13.5957873528645	0.169573489181173
13.7856412600097	0.165238571377055
13.9755083084604	0.16048266358085
14.1653862959647	0.155434998389839
14.3552255936367	0.152019601769529
14.5451320539693	0.146186493980479
14.7350115096414	0.141536163683525
14.9249004482336	0.136707011725052
15.1147996158638	0.131703035758509
15.3046827178871	0.12739643859229
15.4945300543796	0.124345236814682
15.6844262977084	0.119881970494821
15.8743093997317	0.11596191389597
16.0641851970184	0.112376506671549
16.2540668308739	0.108742058240853
16.4439732912066	0.104569542726152
16.6338359471879	0.101672182107592
16.8237212394288	0.0982933603519597
17.0135685759214	0.0959391903363222
17.2034575145135	0.0926657871519391
17.3933588723612	0.0892246700930506
17.5832441646021	0.0862595103984303
17.7731104789689	0.0837922671138153
17.9629607277287	0.0817254648621678
18.1528365250155	0.0791986087393994
18.342753202352	0.075964057417001
18.5326319239402	0.0735611623031216
18.7224712336464	0.0719445738461889
18.9123689331088	0.0693367624988569
19.1022352474755	0.0673535532172127
19.2921256542354	0.0650314387328793
19.4820408754383	0.0623983588072159
19.6719210531602	0.0604024274615196
19.8618297037104	0.0580527220907263
20.0517098814323	0.056195794281425
20.2416148856312	0.0540593323688905
20.4315023680897	0.0522339960708876
20.6214117527238	0.0501927728321124
20.8113379370487	0.0480277629554307
21.0013181306947	0.0453355103984369
21.1911990425004	0.0438772575383252
21.3811390901804	0.0418383856067927
21.5710499429824	0.040188549794708
21.7610009417502	0.0382155803530382
21.9164171074207	0.0366577898264765
